date,equity,capital,open_positions,candidates,promoted,best_test_sharpe,macro_bias,fear_greed,news_hits
2026-06-25 12:08,10000.0,10000.0,0,6,3,1.454,neutral,12,1
2026-06-25 12:08,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:09,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:09,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:10,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:11,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:11,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:12,10000.0,10000.0,0,4,3,1.454,neutral,12,1
2026-06-25 12:13,10000.0,10000.0,0,6,3,1.454,neutral,12,1
2026-06-25 12:13,10000.0,10000.0,0,7,3,1.454,neutral,12,1
2026-06-25 12:14,10000.0,10000.0,0,5,3,1.454,neutral,12,1
2026-06-25 12:14,10000.0,10000.0,0,7,3,1.454,neutral,12,1
2026-06-25 12:15,10000.0,10000.0,0,6,3,1.454,neutral,12,1
2026-06-25 12:15,10000.67,8100.0,2,3,6,1.454,neutral,12,1
2026-06-25 13:53,10000.0,10000.0,0,8,3,2.632,neutral,12,1
2026-06-25 13:54,10000.0,10000.0,0,6,3,2.632,neutral,12,1
2026-06-25 13:54,10000.0,10000.0,0,5,3,2.632,neutral,12,1
2026-06-25 13:55,10000.0,10000.0,0,7,3,2.632,neutral,12,1
2026-06-25 13:55,10000.0,10000.0,0,5,3,2.632,neutral,12,1
2026-06-25 13:56,10000.0,10000.0,0,5,3,2.632,neutral,12,1
2026-06-25 13:56,10000.0,10000.0,0,7,3,2.632,neutral,12,1
2026-06-25 13:57,10000.0,10000.0,0,5,3,2.632,neutral,12,1
2026-06-25 13:57,10001.38,8100.0,2,2,6,2.632,neutral,12,1
2026-06-25 15:16,10025.65,8100.0,2,4,6,2.632,neutral,12,1
2026-06-25 15:16,10020.22,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:16,10017.98,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:17,10022.7,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:17,10023.87,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:17,10025.93,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:17,10025.63,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:18,10025.93,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:18,10032.67,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:18,10035.92,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:19,10037.23,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:19,10037.39,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:19,10036.94,8100.0,2,5,6,2.632,neutral,12,1
2026-06-25 15:20,10033.63,8100.0,2,6,6,2.632,neutral,12,1
2026-06-25 15:20,10031.37,8100.0,2,3,9,2.632,neutral,12,1
2026-06-25 17:26,10070.01,8100.0,2,7,9,3.557,neutral,12,1
2026-06-25 17:27,10075.0,8100.0,2,5,9,3.557,neutral,12,1
2026-06-25 17:27,10076.77,8100.0,2,6,9,3.987,neutral,12,1
2026-06-25 17:27,10076.77,8100.0,2,6,9,3.987,neutral,12,1
2026-06-25 17:28,10077.37,8100.0,2,6,9,3.987,neutral,12,1
2026-06-25 17:28,10073.24,8100.0,2,6,9,4.166,neutral,12,1
2026-06-25 17:28,10074.71,8100.0,2,7,9,4.166,neutral,12,1
2026-06-25 17:29,10075.44,8100.0,2,7,9,4.166,neutral,12,1
2026-06-25 17:29,10078.68,8100.0,2,7,9,4.166,neutral,12,1
2026-06-25 17:29,10079.12,8100.0,2,6,9,4.166,neutral,12,1
2026-06-25 17:30,10077.94,8100.0,2,6,9,4.166,neutral,12,1
2026-06-25 17:30,10078.23,8100.0,2,6,9,4.166,neutral,12,1
2026-06-25 17:30,10078.37,8100.0,2,5,9,4.166,neutral,12,1
2026-06-25 17:31,10075.87,8100.0,2,6,9,4.245,neutral,12,1
2026-06-25 17:31,10076.32,8100.0,2,7,9,4.245,neutral,12,1
2026-06-25 17:31,10072.95,8100.0,2,5,9,4.245,neutral,12,1
2026-06-25 17:31,10072.5,8100.0,2,3,11,4.245,neutral,12,1
2026-06-25 19:26,10037.68,8100.0,2,6,11,4.245,neutral,12,1
2026-06-25 19:27,10036.8,8100.0,2,6,11,4.245,neutral,12,1
2026-06-25 19:27,10036.79,8100.0,2,8,11,4.245,neutral,12,1
2026-06-25 19:27,10037.68,8100.0,2,8,11,4.245,neutral,12,1
2026-06-25 19:28,10037.68,8100.0,2,7,11,4.245,neutral,12,1
2026-06-25 19:28,10036.51,8100.0,2,7,11,4.245,neutral,12,1
2026-06-25 19:28,10035.78,8100.0,2,6,11,4.245,neutral,12,1
2026-06-25 19:29,10035.92,8100.0,2,7,11,4.245,neutral,12,1
2026-06-25 19:29,10036.51,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:29,10038.29,8100.0,2,8,11,4.429,neutral,12,1
2026-06-25 19:29,10039.74,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:30,10040.91,8100.0,2,8,11,4.429,neutral,12,1
2026-06-25 19:30,10041.21,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:30,10040.62,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:31,10039.74,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:31,10040.33,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:31,10040.03,8100.0,2,6,11,4.429,neutral,12,1
2026-06-25 19:31,10040.33,8100.0,2,4,13,4.429,neutral,12,1
2026-06-25 21:15,10053.84,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:15,10055.02,8100.0,2,8,13,4.429,neutral,12,1
2026-06-25 21:15,10053.98,8100.0,2,7,13,4.429,neutral,12,1
2026-06-25 21:16,10052.96,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:16,10051.94,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:16,10052.08,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:17,10051.79,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:17,10051.2,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:17,10051.2,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:18,10051.05,8100.0,2,7,13,4.429,neutral,12,1
2026-06-25 21:18,10050.75,8100.0,2,6,13,4.429,neutral,12,1
2026-06-25 21:19,10051.2,8100.0,2,7,13,4.429,neutral,12,1
2026-06-25 21:19,10051.79,8100.0,2,5,13,4.429,neutral,12,1
2026-06-25 21:19,10051.79,8100.0,2,3,15,4.429,neutral,12,1
2026-06-25 22:48,10073.83,8100.0,2,8,15,4.53,neutral,12,1
2026-06-25 22:49,10073.53,8100.0,2,5,15,4.544,neutral,12,1
2026-06-25 22:49,10073.53,8100.0,2,5,15,4.563,neutral,12,1
2026-06-25 22:49,10071.48,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:50,10071.79,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:50,10072.95,8100.0,2,8,15,4.563,neutral,12,1
2026-06-25 22:50,10072.81,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:51,10072.36,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:51,10071.77,8100.0,2,7,15,4.563,neutral,12,1
2026-06-25 22:51,10071.77,8100.0,2,8,15,4.563,neutral,12,1
2026-06-25 22:52,10072.06,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:52,10072.95,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:52,10072.65,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:52,10072.36,8100.0,2,7,15,4.563,neutral,12,1
2026-06-25 22:53,10072.65,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:53,10072.65,8100.0,2,5,15,4.563,neutral,12,1
2026-06-25 22:53,10072.36,8100.0,2,6,15,4.563,neutral,12,1
2026-06-25 22:54,10072.36,8100.0,2,4,17,4.563,neutral,12,1
2026-06-26 00:10,10093.38,8100.0,2,4,17,4.563,neutral,13,1
2026-06-26 00:10,10092.63,8100.0,2,5,17,4.563,neutral,13,1
2026-06-26 00:10,10092.05,8100.0,2,8,17,4.563,neutral,13,1
2026-06-26 00:11,10092.93,8100.0,2,7,17,4.563,neutral,13,1
2026-06-26 00:11,10091.6,8100.0,2,8,17,4.563,neutral,13,1
2026-06-26 00:11,10092.05,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:12,10090.87,8100.0,2,7,17,4.563,neutral,13,1
2026-06-26 00:12,10089.11,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:12,10090.87,8100.0,2,7,17,4.563,neutral,13,1
2026-06-26 00:13,10090.44,8100.0,2,7,17,4.563,neutral,13,1
2026-06-26 00:13,10090.85,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:13,10091.75,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:14,10093.51,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:14,10094.4,8100.0,2,6,17,4.563,neutral,13,1
2026-06-26 00:14,10094.69,8100.0,2,5,17,4.563,neutral,13,1
2026-06-26 00:14,10094.1,8100.0,2,3,19,4.563,neutral,13,1
2026-06-26 04:42,10101.45,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:42,10099.69,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:42,10099.69,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:43,10099.98,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:43,10100.57,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:44,10099.69,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:44,10099.98,8100.0,2,8,19,4.563,neutral,13,1
2026-06-26 04:44,10102.49,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:45,10102.62,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:45,10102.04,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:45,10101.74,8100.0,2,8,19,4.563,neutral,13,1
2026-06-26 04:46,10101.45,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:46,10099.69,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:47,10100.57,8100.0,2,7,19,4.563,neutral,13,1
2026-06-26 04:47,10100.27,8100.0,2,6,19,4.563,neutral,13,1
2026-06-26 04:47,10100.13,8100.0,2,4,21,4.563,neutral,13,1
2026-06-26 08:24,10155.81,8100.0,2,7,21,4.563,neutral,13,1
2026-06-26 08:24,10155.81,8100.0,2,7,21,4.563,neutral,13,1
2026-06-26 08:24,10156.11,8100.0,2,6,21,4.563,neutral,13,1
2026-06-26 08:25,10156.69,8100.0,2,8,21,4.563,neutral,13,1
2026-06-26 08:25,10157.87,8100.0,2,8,21,4.563,neutral,13,1
2026-06-26 08:25,10156.85,8100.0,2,7,21,4.563,neutral,13,1
2026-06-26 08:26,10156.4,8100.0,2,6,21,4.563,neutral,13,1
2026-06-26 08:26,10155.52,8100.0,2,7,21,4.563,neutral,13,1
2026-06-26 08:26,10154.64,8100.0,2,8,21,4.563,neutral,13,0
2026-06-26 08:27,10153.89,8100.0,2,8,21,4.563,neutral,13,0
2026-06-26 08:27,10152.44,8100.0,2,8,21,4.563,neutral,13,0
2026-06-26 08:27,10154.05,8100.0,2,7,21,4.563,neutral,13,0
2026-06-26 08:28,10153.76,8100.0,2,7,21,4.563,neutral,13,0
2026-06-26 08:28,9989.07,8615.39,2,5,23,4.563,neutral,13,0
2026-06-26 11:25,9966.53,8615.39,2,6,23,4.563,neutral,13,0
2026-06-26 11:25,9966.37,8615.39,2,6,23,4.563,neutral,13,0
2026-06-26 11:26,9966.1,8615.39,2,6,23,4.563,neutral,13,0
2026-06-26 11:26,9965.64,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:26,9965.37,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:27,9965.76,8615.39,2,6,23,4.563,neutral,13,0
2026-06-26 11:27,9965.75,8615.39,2,8,23,4.563,neutral,13,0
2026-06-26 11:27,9965.25,8615.39,2,8,23,4.563,neutral,13,0
2026-06-26 11:28,9964.95,8615.39,2,10,23,4.563,neutral,13,0
2026-06-26 11:28,9965.41,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:28,9965.03,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:29,9963.53,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:29,9963.74,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:29,9963.86,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:30,9963.97,8615.39,2,7,23,4.563,neutral,13,0
2026-06-26 11:30,9964.52,8615.39,2,5,25,4.563,neutral,13,0
2026-06-26 13:31,9966.21,8615.39,2,8,25,4.563,neutral,13,0
2026-06-26 13:32,9968.74,8615.39,2,6,25,4.563,neutral,13,0
2026-06-26 13:32,9967.66,8615.39,2,9,25,4.563,neutral,13,0
2026-06-26 13:32,9969.01,8615.39,2,8,25,4.563,neutral,13,0
2026-06-26 13:33,9967.42,8615.39,2,6,25,4.563,neutral,13,0
2026-06-26 13:33,9963.1,8615.39,2,6,25,4.563,neutral,13,0
2026-06-26 13:33,9962.58,8615.39,2,7,25,4.563,neutral,13,0
2026-06-26 13:34,9961.43,8615.39,2,7,25,4.563,neutral,13,0
2026-06-26 13:34,9965.43,8615.39,2,7,25,4.563,neutral,13,0
2026-06-26 13:35,9965.47,8615.39,2,7,25,4.563,neutral,13,0
2026-06-26 13:35,9969.35,8615.39,2,8,25,4.563,neutral,13,0
2026-06-26 13:35,9973.32,8615.39,2,8,25,4.563,neutral,13,0
2026-06-26 13:36,9974.97,8615.39,2,6,25,4.563,neutral,13,0
2026-06-26 13:36,9972.2,8615.39,2,4,27,4.563,neutral,13,0
